,text,sentiment
39,what is Chris Cristie on about Re: abortions? This is absurd. #GOPdebate,Negative
40,RT @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? #GOPdebates #GOPdebate,Negative
41,RT @mdiannone: Not watching th #GOPDebate. I'll just catch the highlights on Monday from Jon Stewa- ohh.... :(,Neutral
42,"RT @katyfromkansas: Get Your Free Tacos Tonight, Courtesy of Donald Trump http://t.co/imXpyfqRPQ via #startup @Eat24 #GOPDebate http://t.co…",Negative
43,At this point in the #GOPDebate there is no winner. Only losers.,Negative
44,"""Balderdash"" is my favorite word that describes @realDonaldTrump's presidential campaign run. #GOPDebate",Negative
45,So there's this #GOPDebate #CNN http://t.co/rtKzReN0pK,Neutral
46,Bet you'll never guess what gourmet delicacy we were snacking on during last night's #GOPDebate?!,Neutral
47,"Sen. Perry calls for ""aviation assets"" (means spy drones) that ""identify what individuals are doing"" 24/7 #GOPDebates http://t.co/ipbSIczyIN",Negative
48,RT @jsn2007: What ever happened to the answers to how they were gonna take care of vets? #GOPDebates,Negative
49,"@megynkelly @realDonaldTrump could have it handled better, but he was the only one questioned, read: attacked, at personal level.#GOPDebate",Neutral
50,"@KateBolduan You're a news reporter... I don't care to hear your personal opinion, disdain for a candidate.  #GOPDebate #CNN",Neutral
51,"New Guardian column up on #GOPDebate: ""the only shoutout given to #BlackLivesMatter lasted less than a minute."" http://t.co/emDcbvJWQD",Negative
52,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
53,@RealBenCarson was my early favourite until he compared taxes to tithing. Keep religion out it out dude! #GOPDebate,Negative
54,The most truthy analysis of the #GOPDebate last night was when @ChrisStirewalt quipped the @realDonaldTrump had a 'HoneyBadger' attitude.,Negative
55,"#Trump must be doing something right to have Lame-Stream Media FOX - Karl Rove - NEWS come out swinging at him. 
#GOPDebate @realDonaldTrump",Positive
56,You're parents were Illegal Marco! Can I call you Marco? #GOPDebates,Negative
57,@RealBenCarson calling it like it is. #GOPDebates #NoHillary2016,Neutral
58,Did Donald Trump’s performance at the first #GOPdebate help or hurt him? http://t.co/ydtIRIdU7H http://t.co/AnDsOm9DMb,Neutral
59,The #GOPdebate summed up. http://t.co/fkYSDRwzS1,Negative
60,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead 🇺🇸 #GOPD…,Positive
61,"RT @BrendanKKirby: If @JohnKasich hasn't wrapped up the mailman vote by the end of this debate, he ought to drop out. #GOPdebates #LZDebates",Negative
62,"#GOPDebate  they should all be on the ballet along with all candidates,  let the people decide",Neutral
63,This caption is puuuuuuurfect. https://t.co/LuQdtgv4Fb #hillaryclinton #hillary2016 #vote #election #gopdebate,Positive
64,#GOPDebate: Ted Cruz’s Precious Daughters Steal The Show: There were certainly some “did they really just say ... http://t.co/jzlh4Lrzh4,Positive
65,"RT @TeaPainUSA: Fox News is treatin' Donald Trump less like ""The Apprentice"" and more like ""Dateline Predator."" #GOPDebate",Negative
66,"RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",Negative
67,"@RealBenCarson Astounding job at the #GOPDebate. Poised, dignified, humble yet unwavering.",Positive
68,Donald Trump: I have never gone bankrupt... Really donald? REALLY DONALD? You fucking liar... #GopDebates,Negative
69,RT @monaeltahawy: Paging the Donald: you can't beat Jamaica in soccer either #GOPDebates,Negative
70,"RT @oaaselect: I'm a radical for Capitalism and Individual Rights looking for a heroic candidate. 

 #GOPDebate",Neutral
71,"@Mivasair @michelleruiz  ""never give up your leverage before the negotiation starts"" - Donald #Trump 2015
#GOPDebate 
#TrumpForPresident",Neutral
72,"""The most unexpected part of the GOP Debate was seeing a commercial for Straight Outta Compton on Fox News"" #GOPDebate",Neutral
73,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …,Negative
74,"Yes &amp; add I've got the best hair! RT @SalMasekela Rand Paul should have gone with, 'I've got curly hair!' and dropped the mic. #GOPDebates",Positive
75,"RT @TheDailyEdge: Jeb Bush: ""I support a culture of life. I also passed the first Stand Your Ground law for those who prefer a culture of d…",Neutral
76,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,Positive
77,"Sure, #Trump may be entertaining, but let's remember this is a presidential campaign, not WWE SummerSlam. #GOPDebate https://t.co/cbmPOatgx0",Negative
78,@RandPaul didn't defend the 4th amendment too eloquently last night but this article is a good mediator http://t.co/VLt68ymse2 #GOPDebate,Negative
79,"RT @DanWantsFreedom: Trump Wins @DRUDGE Report #GOPDebate Poll.
#TedCruz finished 2nd.
 http://t.co/LxexPfyI4V #Newsmax via @Newsmax_Media
…",Neutral
80,Why watch 10 contenders debate when you can just watch Megyn Kelly? #GOPdebates,Positive
81,"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates.",Positive
82,"RichieRichBor: RT DiabetesHeroes: The #GOPdebate was like a Disney movie. They all looked FROZEN, Megyn Kelly &amp; Tr… http://t.co/AuhlNZa3Ww",Negative
83,Regardless of who won the #GOPDebate it was clear that women's rights lost. #StandwithPP #prochoice  https://t.co/MCeMS58R9I,Negative
84,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates",Positive
85,"RT @cheeriogrrrl: The men on this stage think they're capable of making decisions about women's health care,when they don't believe in #sci…",Negative
86,Watching #GOPDebate for the first time. LMFAO,Negative
87,RT @SimSoph: Quite something to watch the #GOPDebate vs the Canadian PM debate. How can anyone take American politicians seriously?,Negative
88,I loved it in the #GOPdebate when @MarcoRubio spoke about repealing Dodd-Frank. He is a champion of #smallbusiness.,Positive
89,"laprofe63: RT LoseThosePoundz: When you're searching for a comeback but you really don't have a clue
#GOPdebate … http://t.co/AuhlNZa3Ww",Negative
90,RT @M_Cornell: . @realDonaldTrump How do you intend to increase minor league hockey salaries? #AskingForAFriend #GOPDebate,Neutral
91,How long until the @GOP realises that @FoxNews is bad for the party? Narrower and narrower it becomes. #GOPDebate,Negative
92,RT @cappy_yarbrough: Love to see men who will never be faced with a pregnancy talk about what I can do with my body ❤️❤️❤️❤️ #GOPDebate,Negative
93,"the hillary campaign was trolling during #GOPDebate 
LOL http://t.co/oreEEE5HFQ",Neutral
94,Well no mater what happens in this debate or the election I think everyone is realizing we're pretty much screwed. #GOPDebates,Negative
95,“@JimmyJames38: Why is Huckster getting so much air time? #GOPDebates” maybe because he's worked for Fox News?,Negative
96,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
97,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates",Positive
98,"RT @palmaceiahome1: Rush Limbaugh to Megyn Kelly ""I know no Democrat Candidate would be treated the way Megyn Kelly treated Trump."" #FoxNew…",Neutral
99,.@tnr went to a #GOPDebate watch party in DC and found a unicorn: a 24-year-old black gay Republican: http://t.co/9Srohf9yte,Negative
100,"RT @jjday10: God, I wish @nerdist was moderating these debates so he could just yell out ""POINTS!"" when they say something ridiculous. #GOP…",Negative
101,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,Negative
102,"Deut 1:13 Choose for ur tribes wise, understanding &amp; experienced men, &amp; I'll appoint them as your heads. #GOPDebate https://t.co/JqVoQ4miQ6",Neutral
103,"If you missed last night's #GOPDebate, here's the only recap video you need to watch.  https://t.co/DAr78Vp3LX",Negative
104,"In the @politico caucus, Republican insiders call #Trump's first debate a 'disaster' #GOPDebate #Election2016 - http://t.co/UBW0tXlvwV",Negative
105,"#GOPDebate field: eight Senators &amp; Governors, a billionaire businessman who's been famous for 30 years, and then also some doctor.",Neutral
106,"#GOPDebate asks candidates whether or not God has told them what to do as President.  
#Imbeciles",Negative
107,RT @DanSpeaksTruth: I hoped that @FoxNews would have had a productive #GOPdebate to weed out candidates and not a blood bath for entertainm…,Negative
108,"RT @msmallywelch: ""This is the worst Miss America competition I have ever seen.""
-@thejoemoses #GOPDebate",Negative
109,"As I listen to the #GOPDebate this morning, I cannot stop thinking of #JonStewart's words ""Bullshit... is everywhere"".",Negative
110,RT @bkurbs: What are you saying? @realDonaldTrump #GOPDebate http://t.co/mSq6cN6B3s,Neutral
111,Megyn Kelly: Rosie O'Donnell a 'woman.' #GOPDebate,Neutral
112,RT @RWSurferGirl: .@GovChristie Just got his ass served to him by @RandPaul 🇺🇸 #GOPDebates  #GOPDebates,Negative
113,RT @monaeltahawy: Seriously: GOP voters think God talks to presidential candidates? #ChristianBrotherhood #GOPDebates,Negative
114,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates,Neutral
115,"Why republicans have to be pro life, it makes it hard for people in the 21st century to take them seriously #gop #GOPDebate",Negative
116,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates,Negative
117,Donald Trump (@realDonaldTrump) is like the J.R. Ewing of politics! #GOPDebate,Neutral
118,#FoxNews was the big winner at #GOPDebate. No way future viewership was not the objective. Surely already said.,Positive
119,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,Positive
120,"RT @theLadyGrantham: Don't be Donald Trump dear, it's very middle class. #GOPDebate",Negative
121,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz,Negative
122,"If I had to vote today, it would be @realDonaldTrump! #GOPDebate #leader #dominated I saw a CEO of the panel. #CEO of the #Country.",Positive
123,RT @EQphoto: Just remember no matter wins the #GOPDebate everyone who watched it loses #alcoholpoisoning,Negative
124,RT @SalMasekela: That moment you realize you're watching Fox News and your not in handcuffs. #GOPDebates http://t.co/5L9INki5SF,Neutral
125,"RT @nannacassie: #CarlyFiorina knows what she's doing. Name your opponents weakness,name your own strenghths,state what she wanrts,ask for …",Positive
126,I for one am shocked that the party whose audience booed an American soldier applauded a rallying cry to be meaner to people. #GOPDebate,Negative
127,This is so f*%king entertaining it should be ILLEGAL! #GOPDebate http://t.co/9johDuI7M9 via @theblaze,Negative
128,I was hoping there would be some opinions regarding the #GOPDebate on Twitter today.,Neutral
129,"@FoxNews says @RealBenCarson topped candidates in new Twitter followers after #GOPDebates. 24000 vs. 2nd place, 11000 @marcorubio Congrats!",Negative
130,@marcorubio's ears are freakishly huge. #GOPDebates,Neutral
131,Huckster is on fire! I'm starting to think he's really interested in running for president...for the first time. #GOPDebates #tcot #TLOT,Positive
132,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸,Negative
133,"#gopdebates @chrischristie putting 'terrorists' in jail, means locking up college students for calling vivisectors delusional. #count28",Negative
134,that shit was some bullshit #GOPDebate,Negative
135,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates,Negative
136,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A",Positive
137,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
138,RT @mjtbaum: Maybe @realDonaldTrump can just ask to borrow this... #GOPDebate http://t.co/chnjqlQmBn,Negative
139,"RT @Smith83K: Ok Jeb! Tell us again how the #KXL creates ""high-sustained economic growth"" when it shoots right through the country for expo…",Negative
140,.@ObamaAgenda @BaracksBackers Um..During the #GOPDebate. DERP!,Neutral
141,Cruz is really lying about this healthcare discussion. Wow. #GOPDebate,Negative
142,RT @patriotmom61: It's unconscionable that @FoxNews moderators asked ALL the candidates except Santorum foreign policy&amp; nat sec questions i…,Negative
143,RT @zigzagoonsquad: Jeb Bush lookin like a president from a movie where the president is the villain #GOPDebate,Negative
144,"@realDonaldTrump Whine, whine, whine, boo-hoo I got hard questions 😩#GOPDebate",Negative
145,RT @MrPeytonReed: Ted Cruz looks like the poor actor in prosthetics who replaced Crispin Glover in BACK TO THE FUTURE PART 2. #GOPDebate,Negative
146,RT @DanScavino: .@MegynKelly trying 2show up @realDonaldTrump w @FoxNews. Trying 2take him down. Trying 2destroy him. Not happening. #Kelly…,Negative
147,"RT @fieldnegro: So now we know who uncle Rupert does NOT want to be the republican nominee. Mr Bad Hair, that would be you. #GOPDebates",Neutral
148,#GOPDebates brought to you by… STRAIGHT OUTTA COMPTON.,Negative
149,RT @jsn2007: What ever happened to the answers to how they were gonna take care of vets? #GOPDebates,Negative
150,"@sallykohn @megynkelly Megyn you are now officially charted on the Moonbat Hit Parade.  
#MegynKelly #GOPDebate",Positive
151,RT @DoubleDipChip: Why aren't they enforcing the don't speak after the bell rule? #GOPDebates,Negative
152,REMINDER: Marco Rubio Abandoned #ImmigrationReform So He Could Run For President http://t.co/rIQRabv3al #GOPDebate http://t.co/ICXWvlJKY8,Negative
153,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates,Positive
154,RT @jsc1835: Chris Christie - You want to increase our military troops?  While the GOP in Congress vote AGAINST veterans...  #GOPDebates,Negative
155,Marco Rubio debating like a champ. #partyofthefuture #GOPDebate,Positive
156,RT @fieldnegro: GOP respects life....just not black ones. #GOPDebates,Negative
157,"The ""Washington Cartel""? Ted Cruz really loves to exaggerate to the point of it being blatantly untrue. #GOPDebate",Negative
158,"RT @Zone6Combat: Hey #FoxNews, planning on giving #TedCruz chance to speak? You're trying to marginalize him as you do on your daily news c…",Positive
159,"RT @BELUTHAHATCHIE: God, with usual sadism, seems to be telling multiple GOP candidates they have ""His"" vote. #GOPDebate",Negative
160,"RT @99AndThe2000: This is the biggest shit show I've ever seen.

Everybody on stage looks like they got their ass kicked in the 10th grade.…",Negative
161,The fact they're playing the #StraightOuttaCompton trailer during the #GOPDebates ...😂😂😂 #KnowYourAudience,Neutral
162,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
163,"RT @GeneMcVay: #GOPDebate Billy Graham said if God doesn't punish America He should apologize to Sodom &amp; Gomorrah. 

Pray is banned, baby p…",Negative
164,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,Negative
165,"If my IQ were 80 or less, I think these assholes would seem really coherent. 

#GOPDebates",Negative
166,#GOPDebate: @FoxNews Failed https://t.co/GCLQY4kaq5,Negative
167,"RT @laurenreeves: ""Stay tuned for closing statements, final thoughts, and God."" And then I turned off the TV, I'm good. #GOPDebates",Negative
168,"JonathanFarrel7: luciabrawley: What is the Christian litmus test? Let's refer to the Constitution, shall we? #GOPDebates #FirstAmendment #F…",Neutral
169,"Lemme see...who else?Bush, Rubio? Too similar. #GOPDebate",Negative
170,"RT @ShelbyKnox: ""The purpose of the military is to kill people &amp; break things."" - Huckabee in route to being wildly transphobic. #GOPDebate",Negative
171,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,Negative
172,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.,Positive
173,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates,Negative
174,Why does that blonde keep laughing? #GOPDEBATE @megynkelly You look foolish and unprofessional.  YOUR FIRED,Negative
175,RT @UnionMaiden: Sen Paul - Obamacare covers hearing tests. #GOPDebate,Neutral
176,RT @olakunlesoriyan: FREEDOM is NOT FREE...and we MUST FIGHT for it EVERYDAY--@RealBenCarson  #GOPDebates #AfroWays #RandomThoughts #Soriya…,Negative
177,RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate,Negative
178,"RT @JohnKasich: It's called ""President of the United States"" for a reason.

#Kasich4Us

#GOPDebate https://t.co/pcdhnihp1Y",Positive
179,This debate just makes me want to drink more #GOPDebates,Negative
180,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
181,"RT @gamma_ray239: Very disappointed in @FoxNews, They treated the #GOPDebate no different than @CNN would have; They were dictating vs repo…",Negative
182,"RT @RT0787: alyssaphucker: RT HuffingtonPost: The real winner of the #GOPDebate? MegynKelly
https://t.co/KmRn9BV2fM http://t.co/AuhlNZa3Ww",Negative
183,Trump showed he didn't belong but did GOP a favor. Better ratings &amp; he brought out personalities and ideas of other candidates. #GOPdebate,Negative
184,"Score B+ candidates C- moderators, just full of themselves &amp; their presumed cleverness. Just my take. .#GOPDebate #FOXNEWSDEBATE",Negative
185,#GOPDebates Need I say more http://t.co/Vb5bDjR1K9,Negative
186,"RT @cenkuygur: My 5 year-old son saw @realDonaldTrump on TV and said, ""Dad, the clown is on TV!"" #GOPDebate",Negative
187,"RT @jenniferweiner: Trump's going to say he fired God. Or that God auditioned for ""Celebrity Apprentice"" and Trump turned him down. #GOPDeb…",Negative
188,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",Negative
189,RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw,Negative
190,Why is #outnumbered trying to make the #GOPDebate more exciting than it was? @foxnews has all shows promoting the weak debate. #outnumbered,Negative
191,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A",Positive
192,"I need to go do something else, but train wreck....... #GOPDebates",Negative
193,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,Negative
194,"RT @JGalt9: Love that Cruz introduced a bill to strip citizenship from Americans who join ISIS 
#GOPDebate http://t.co/MylrLV0U7e",Positive
195,"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates",Positive
196,@megynkelly U disappointed me in last night's #GOPDebate. U should've asked @realDonaldTrump Q's that are pertinent 2 duties of a President.,Negative
197,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…",Positive
198,RT @averykayla: At what point am I suppose to stop laughing and start crying? #GOPDebates #DebateWIthBernie,Negative
199,RT @buckle2: The scary part about the #GOPDebate is that Trump won and is still leading the polls. Is America serious about making him Pres…,Negative
200,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp; …,Positive
201,RT @BuhByeGOP: Liar Ted Cruz is a liar... #GOPDebate #CruzCrew http://t.co/WiLAWJOHMQ,Neutral
202,"#GOPDebate I loved Walker nodding along to Carson's responses. Carson speaks common sense, sadly that is an uncommon trait.",Positive
203,"#gopdebate Trump hates fat people? He should look in the mirror. Poor Chris Christe won't challenge him. Well, you know why. : (",Negative
204,"RT @JRpolitirants: Don't get me wrong, Ben Carson is a brilliant man, I admire him, but I don't see him as president, its true he has a lot…",Negative
205,RT @JohnJFrusciante: I didn't watch the #GOPDebate but I did see an old dog struggle to take a shit on the sidewalk so that's basically the…,Negative
206,Not only are the candidates eating each other. Now all the tea baggers hate the fox host. Donald scores twice for Hillary. Lmao #GOPDebate,Negative
207,RT @bassem_masri: Wow the #GOP are running blatantly running on bigotry war and torture while not addressing problems at home #KKKorGOP #GO…,Negative
208,.@FoxNews should replace @megynkelly with @marthamaccallum in future debates. MacCallum did a MUCH better job in early debate. #GOPDebate,Negative
209,RT @tnyCloseRead: Santorum just compared #SCOTUS's marriage ruling to Dred Scott. Here's why that analogy is nonsense: http://t.co/xjzdnXdM…,Negative
210,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",Neutral
211,"@sdblanke Bush Cheney raped, plundered, pillaged the whole WORLD b4 they left office. Obama killed one REALLY BAD GUY + is black. #GOPDebate",Negative
212,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates",Positive
213,Oh and the absolute disrespect of @POTUS by the GOP candidates in the #GOPDebate was DISGUSTING!,Negative
214,"Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates",Positive
215,"Oh yes please pontificate on social security reform, baby boomers #GOPDebates",Negative
216,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …,Negative
217,#GOPDebate I watched it because I knew it was going to be the greatest circus act/show on earth. We R the laughing stock of the world,Negative
218,THIS ISNT A DEBATE!!!! This is a Q and A #GOPDebates,Negative
219,Make sure you take our poll: Which candidate do you think was most impressive during #GOPdebate last night? http://t.co/x4pNZqxCJU,Neutral
220,"RT @ChrisChristie: We have to stop worrying about being loved &amp; start worrying about being respected. #TellingItLikeItIs #GOPDebate
https:/…",Positive
221,"""The Progressive movement is causing our problems and @HillaryClinton is the epitome of that."" - @RealBenCarson #GOPdebates 🇺🇸 &lt; agree",Positive
222,RT @erinnrobinsonn: Can we please stop using 9/11 to get some kind of bizarre street cred?? #GOPDebate,Negative
223,Did anyone get trashed playing @RollingStone's #GOPDebate drinking game?   #drinkinggame,Negative
224,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸,Negative
225,Caught myself up on @NBC #Hannibal last night…and lost my appetite watching the #GOPDebate debacle! Good figure!,Negative
226,Ask Trump Question you get: SQUIRREL! #GOPDebates,Negative
227,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
228,"RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates",Negative
229,No I think his number will go down after this. #Trump #GOPDebates  https://t.co/BfcxHd7vs4,Negative
230,RT @AmyMek: Amen @JohnKasich -&gt; You don't have to compromise convictions to be compassionate…. #GOPDebate http://t.co/NpI9JYZGVF,Positive
231,#GOPDebate Unplanned GOP parenthood ... You're going to have a Trump. http://t.co/6RZMowRG8u,Negative
232,"RT @buffalopundit: Actually, BUSH'S BROTHER CUT THE DEAL TO LEAVE IRAQ. #GOPDebate",Negative
233,RT @KateBlackDC: Becoming a parent is one of the biggest economic decisions a woman can make. These #TenMen want to make that decision for …,Negative
234,"RT @_Banks__: Pimps, prostitutes, and strippers need to pay taxes. #GOPDebate #GOPDebates #",Neutral
235,Drank way too much 🍷 watching the #GOPDebate hangover #GDFR,Negative
